,1.SG,2.SG,1.PL,this1,this2,that1,that2,that3,that4,who?,what?,not,all,many,one,two,big,long,small,woman,man,person,fish,bird,dog,louse,tree,seed,leaf,root,bark,skin,flesh,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,knee,hand,belly,neck,breasts,heart,liver,to drink,to eat,to bite,to see,to hear,to know,to sleep,to die,to kill,to swim,to fly,to walk,to come,to lie down,to sit,to stand,to give1,to give2,to say,sun,moon,star,water,rain,stone,sand,soil,cloud,smoke,fire,ash,to burn,path,mountain,red1,red2,blue1,blue2,yellow1,yellow2,white1,white2,black1,black2,night,hot,cold,full,new,good,round,to dry,name
Sado,wataʃi,anata,wataʃitatʃi,kore,kono,sore,sono,are,ano,,,ɴ,dzembɯ,ippeː,çitotsɯ,fɯtattsɯ,fɯteː,naɡeː,tʃiːtʃeː,onna,otoko,ʃito,sakana,tori,iɴ,ʃirame,kiː,tane,haː,neː,kawa,hada,nikɯ,tʃiː,hone,abɯra,tamaɡo,,oː,hane,kami,atama,mimi,meː,hana,kɯ̥tʃi,haː,ʃi̥ta,tsɯme,aʃi,çidzakkoːbe,teː,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nemɯrɯ,ʃinɯ,korosɯ,ojoɡɯ,tobɯ,eːbɯ / ajobɯ,kɯrɯ,nerɯ,sɯwarɯ / nemarɯ,tatsɯ,kɯrerɯ / jarɯ,kɯrerɯ,jɯː,tentosaɴ,tsɯki,hoʃi,midzɯ,ame,iʃi,sɯna,tsɯtʃi,kɯmo,kebɯ / kemɯri,çiː,,,mitʃi,jama,aka,akeː,ao,aːoi,kiːro,kiroi,ʃiro,ʃireː,kɯro,kɯreː,baŋɡeː,attsɯi,saːmiː,ippeː,ataraʃiː,iː,maːriː,kawakɯ / haʃaɡɯ,nameː
Ibaraki,ore̝,anata,ore̝tatʃï,kore̝ / koe̝tsɯ̈,kono,sore̝ / soe̝tsɯ̈,sono,are̝ / ae̝tsɯ̈,ano,,,nɛː,mïnna,oːe̝,çï̥totsɯ̈,fɯ̥tatsɯ̈,e̝kae̝ / de̝kkae̝,naŋae̝,tsï̥kkoe̝ / tsï̥ttʃae̝ / tsïnkoe̝,onna,otoko,çï̥to,sakana,torï,e̝nɯ,sïramï,kçï,tane̝,happa,ne̝kko,kawa,hada,nïkɯ̈,tʃï,hone̝,abɯra,tamaŋo,,sïrïppo,hane̝,atamanoke̝,atama,mïmï,me̝,hana,kɯ̈tʃï,ha,ʃï̥ta / be̝ro,tsɯ̈me̝,asï,çïdza / çïdzakabɯ̈,te̝,hara,kɯ̈bï,tʃïdzï,kokoro,,nomɯ̈,kɯ̈ː / tabe̝rɯ,kamɯ̈,mïrɯ,kçï̥kɯ̈,sïrɯ̈,ne̝rɯ̈ / ne̝mɯrɯ,sïnɯ,korosɯ̈,,tobɯ,arɯkɯ,kɯrɯ,ne̝mɯrɯ / fɯ̥sarɯ,sɯ̈warɯ̈,tatsɯ̈,jarɯ,kɯre̝rɯ,jɯ̈ː,ote̝ntoːsama,tsɯ̈ɡï / otsɯ̥kçï̥sama,ohossama,mïdzɯ̈,ame̝,e̝sï,sɯ̈na,tsɯ̥̈tsï,kɯmo,ke̝mɯrï / ke̝mɯ,çï,hae̝,,mïtʃï,jama,aka,akae̝,ao,aoe̝,kçïːro,kçïe̝roe̝,sïro,sïroe̝,kɯro,kɯroe̝,jorɯ,atsɯ̈e̝,samɯe̝,e̝ppae̝ / jamakake̝,atarasïe̝,e̝ː,marɯe̝,kawakɯ̈ / çïrɯ,namae̝
Tochigi,watasï / watakɯ̥̈sï,anta,watasïra,kore̝,kono,sore̝,sono,are̝,ano,dare̝,,neː,mïna,oːï / ïppaï,çï̥totsɯ̈ / çïtottsɯ̈,fɯ̥̈tattsɯ̈,oːkïː / de̝kkaï,naŋaï,tsïːsaï / tsïkkoï,onna,otoko,çï̥to,saɡana,torï,ïnɯ̈,sïramï,kï,tane̝,ha / happa,ne̝ / ne̝kko,kawa,hada,nïɡɯ̈,tsïː,,abɯ̈ra,tamaŋo,,o / sïrïo,hane̝,kamïnoɡe,atama,mïmï,me,hana,kɯ̥̈tʃi,ha,ʃï̥ta / bero,tsɯ̈me̝,aʃï,çïdza,te,hara / onaka,kɯbï,tʃï̥tʃï / oppaï / otʃï̥tʃï / otsï,kokoro,,nomɯ̈,tabe̝rɯ̈ / kɯ̈ː,kamɯ̈ / kadʒïrɯ̈,mïrɯ̈,ki̥kɯ,sïrɯ̈,ne̝mɯ̈rɯ̈,sïnɯ̈ / naɡɯ̈narɯ̈,korosɯ̈,ojoŋɯ̈,tobɯ̈,arɯɡɯ,kɯ̈rɯ̈,ne̝rɯ̈,sɯ̈warɯ̈,tadzɯ̈,aŋe̝rɯ̈ / jarɯ̈ / jɯ̈dzɯ̈rɯ̈,kɯ̈re̝rɯ̈,jɯː,ote̝ntosaɴ,tsɯ̥̈kï / otsɯ̥̈kïsaɴ,hosï / ohosï̥saɴ,mïdzɯ̈,ame̝,ïsï,sɯ̈na,tsɯ̥̈tsï,kɯ̈mo,ke̝mɯ̈rï / ke̝mɯ̈,çïː,haï,,mïdzï,jama,aɡa,aɡaï,ao,aoï,kïːro,kïːroï,sïro,sïroï,kɯ̈ro,kɯ̈roï,jorɯ̈,atsɯ̈ï,samɯ̈ï,ɯ̈nto / ippeː / takɯ̥̈san,atarasïː,ïː,marɯ̈rï,kawaɡɯ̈,namae̝
Chiba,ore,omɛːsaɴ,orraː,kore,kono,sore,sono,are,ano,,,nɛː,minna,fɯda,çi̥totsɯ̈,fɯ̥tatsɯ̈,iɡai,naŋɛː,tsïntʃɛː,onna,odoɡo,çi̥to,saɡana,tori,inɯ,sïrami,ki,tane,happa,ne,kawa,,niɡɯ,tsï,hone,abɯra,tamaŋo,,sï̥ppo,hane,adamaŋke,adama,mimi,manaɡo,hana,kɯdzï,ha,bero,tsɯ̈me̝,asï,çidza,te,hara,kɯbi,tsï,koɡoro,,nomɯ,kɯː,kamɯ / kadzïrɯ,mirɯ,kiɡɯ,sïrɯ,neːrɯ,sïnɯ,korosɯ̈,ojoŋɯ,tobɯ,arɯɡɯ,kɯrɯ,nerɯ,bɯdzïːrɯ,tatsɯ̈,dasɯ̈ / jarɯ,kɯrerɯ,jɯː,otentosama,tsɯ̈ɡi / otsɯ̥̈kisama,hosï,midzɯ̈,ame̝,isï / isïkoro,sɯ̈na,tsɯ̈dzï,kɯmo,kemo,çi,heː,,mïdzï,jama,aɡa,aɡɛː,ao,aoi,kiːro,kiːroi,sïro,sïreː,kɯro,kɯreː,baŋŋe,adzɯ̈i,samɯi,ippɛː,adarasïː,iː,maːrɯi,kawaɡɯ,namɛː
Tokyo,watakɯ̥ʃi / wataʃi,anatasama,watakɯ̥ʃidomo / watakɯ̥ʃitatʃi / wataʃidomo,kore / koitsɯ,kono,sore,sono,are / aitsɯ,ano,,,nai,minna,oːi,çi̥totsɯ,fɯ̥tatsɯ,oːkiː,naŋai,tʃiːsai,onna,otoko,çi̥to,ɯo / sakana,tori,inɯ,ʃirami,ki,tane,ha,ne,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,ʃi̥ppo / o,hane,kaminoke,atama,mimi,me,hana,kɯ̥tʃi,ha,ʃi̥ta,tsɯme,aʃi,çidza,te,hara / onaka,kɯbi,tʃi̥tʃi / oppai,kokoro,,nomɯ,taberɯ / kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nemɯrɯ,ʃinɯ,korosɯ,ojoŋɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ,sɯwarɯ,tatsɯ,jarɯ / aŋerɯ,kɯrerɯ,jɯː,taijoː / çi / oçi̥sama,tsɯ̥ki / otsɯ̥ki̥sama,hoʃi / ohoʃi̥sama,midzɯ,ame,iʃi,sɯna,tsɯ̥tʃi,kɯmo,kemɯri,çi,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kɯro,kɯroi,jorɯ,atsɯi,samɯi / çierɯ,ippai,ataraʃiː,joi,marɯi,kawakɯ,namae
Saitama,waʃi / watakɯʃi,,waʃira / watakɯ̥ʃi̥tatʃi,kore / koitsɯ,kono,sore / soitsɯ,sono,are / aitsɯ,ano,,,,minna,oːi / fɯndaɴ,ʃi̥totsɯ,fɯ̥tatsɯ,dekkeː / dekai,naɡeː,tʃi̥ttʃeː,onna,otoko,ʃi̥to,sakana,tori,inɯ,ʃirami,ki,tane,happa,nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaɡo,,çi̥ppo,hane,kaminoke / atamanoke,atama,mimi,me / manako,hana,kɯ̥tʃi,ha,bero / ʃi̥ta,tsɯme,aʃi,çidza,te,hara / onaka,kɯbi,tʃitʃi / oppai,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nebɯrɯ,ʃinu / ʃimɯ,korosɯ,ojoɡɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ / jokonnarɯ / nekorobɯ,sɯwarɯ,tatsɯ,kɯrerɯ,kɯrerɯ,jɯː,otentosama / tentoːsama,tsɯ̥ki / otsɯ̥kisama,hoʃi,midzɯ,ame̝,iʃi,sɯna,tsɯ̥tʃi,kɯmo,kebɯ / kemɯ,çi,hai,,mitʃi,jama,aka,akeː,ao,aoe̝,kiːro,kiːreː,ʃiro,ʃireː,kɯro,kɯreː,jorɯ / baŋɡe,atʃiː,samiː,ɯnto / ippeː,ataraʃiː,iː,marɯi,kawakɯ,nameː
Gunma,wataʃi,omeː,wataʃi̥tatʃi,kore,kono,sore,sono,are,ano,,,neː,minna,oːiː,çi̥totsɯ,fɯ̥tattsɯ,dekkai / okkiː,naɡai,tʃi̥ttʃai,onna,otoko,ʃi̥to,sakana,tori,inɯ,ʃirami,ki,tane,happa,nekko,kawa,hada / çifɯ,nikɯ / mi,tʃi,hone,abɯra,tamaɡo,,ʃippo / oppo,hane,kaminoke,atama,mimi,me / manako,hana,kɯ̥tʃi,ha,bero / ʃi̥ta,tsɯme,aʃi,çidza,te,hara / onaka,kɯbi,tʃi̥tʃi / oppai / otʃitʃi,kokoro,,nomɯ,kɯː / taberɯ,kamu,mirɯ,ki̥kɯ,ʃirɯ / wakarɯ,nebɯrɯ,ʃinɯ,korosɯ,ojoɡɯ,tobɯ,arɯkɯ / ebɯ,kɯrɯ,nerɯ / naɡakɯnarɯ,sɯwarɯ,tatsɯ,jarɯ,kɯrerɯ,jɯː,otenotoːsama,tsɯ̥ki,hoʃi,midzɯ,ame̝,iʃi,sɯna,tsɯ̥tʃi,kɯmo,kemɯuri / kemɯ / kebɯ,çi,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kɯro,kɯroi,baɴ / jorɯ,attʃiː,samiː,ippeː,ataraʃiː,iː,marɯi,kawakɯ / kaːkɯ,namae
Kanagawa,wataʃi,anta / anata,oretatʃi,kore,kono,sore,sono,are,ano,,,neː,minna,oːi / oːdzeː / fɯnda,ʃi̥totsɯ,fɯ̥taːtsɯ,dekkeː,naŋeː / naːŋeː,tʃi̥ttʃeː,onna,otoko,çi̥to,sakana,tori,inɯ / inɯkkoro,ʃirami,ki,tane,happa,nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,oppo / ʃi̥ppo,hane,kaminoke,atama,mimi,me,hana,kɯ̥tʃi,ha,ʃi̥ta,tsɯme,aʃi,çidza,te,hara / onaka,kɯbi,tʃi̥tʃi / oppai,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nemɯrɯ / nerɯ,ʃinɯ / ʃimɯ,korosɯ,ojoŋɯ,tobɯ,arɯkm,ikɯ,nerɯ / nekomɯ,sɯwarɯ,tatsɯ,jarɯ / kɯrerɯ,kɯrerɯ,seːɯ / jɯː,otentoːsama / taijoː,tsɯ̥ki / otsɯ̥kisaɴ,hoːʃi̥saɴ,midzɯ,ame,iʃi / iʃi̥kkoro,sɯna,tsɯ̥tʃi,kɯmo,kebɯ,çi,heː,,mitʃi,jama,aka,akeː,ao,aweː,kiːro,kiːreː,ʃiro,ʃireː,kɯro,kɯreː,jorɯ,atʃiː,samiː,ippeː,ataraʃiː,iː,mariː,kawakɯ,nameː
Yamanashi,wataʃi,anata,wataʃidomo / wataʃitatʃi,kore,kono,sore,sono,are,ano,,,ɴ,minna,oːi,çitotsɯ / çitoːtsɯ,fɯtattsɯ / fɯtaːtsɯ,oːkiː / dekai / dekkai,naŋai,tʃiːsai / tʃikkɯi,onna,otoko,çi̥to / ʃito,ɯwo / sakana,tori,inɯ,ʃirami,ki,tane,ha / happa,ne / nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,ʃippo / oppo,hane,kami,atama,mimi,me,hana,kɯtʃi,ha,ʃita,tsɯme,aʃi,çidza,te,hara / onaka,kɯbi,tʃitʃi / oppai,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,kikɯ,ʃirɯ,nemɯrɯ / neːrerɯ,ʃinɯ,korosɯ,ojoŋɯ,tobɯ,arɯkɯ / aikɯ,kɯrɯ,nerɯ,sɯwarɯ,tatsɯ,jarɯ,kɯrerɯ,jɯː,taijoː / otentoːsaɴ,tsɯki,hoʃi,midzɯ,ame,iʃi,sɯna,tsɯtʃi,kɯmo,kemɯri / kebɯri,çi,heː,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kiːroi,ʃiro,ʃiroi,kɯro,kɯroi,jorɯ,attsɯi / atsɯi,samɯi,ippai,ataraʃiː / niːʃiː,joi,marɯi,kawakɯ / çirɯ,namae / na
Shizuoka,waʃi / wataʃi,anta,waʃira / waʃitatʃi / wataʃira,kore,kono,sore,sono,are,ano,,,neː,minna,oːi / erai,çitotsɯ,fɯtatsɯ,ikai,naŋeː,kosɯi / tʃimbiː / kombiː / tʃiːseː,onna,otoko,çi̥to,ioː,tori,inɯ / inɯkkoro,ʃirami,ki,tane,happa,nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,ʃippo,hane,kami / atamaŋkeː,atama,mimi,me,hana,kɯtʃi,ha,ʃitabera / bero,tsɯme,aʃi,çidza,te,hara,kɯbi,tʃi̥tʃi / oppai,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,kikɯ,ʃirɯ,nebɯrɯ,ʃinɯ,korosɯ,ojoŋɯ,tobɯ,eːkɯ,kɯrɯ,nerɯ / nekkoroŋarɯ,sɯwarɯ,tatsɯ,jarɯ / aŋerɯ,kɯrerɯ,jɯː,otentosaɴ,tsɯki / ottsɯkisaɴ,hoʃi,midzɯ,ame,iʃi / iʃikoro,sɯna,tsɯ̥tʃi,kɯmo,kebɯ,çi,heː,,mitʃi,jama,aka,akai,ao,aeː,kiːro,kiːneː / kiːroi,ʃiro,ʃiroi,kɯro,kɯroi,jorɯ,atʃiː,sabiː / çierɯ,ippai,ataraʃiː,eː,mariː,kawakɯ / kaːkɯ / çirɯ,namae
Akiyama,ore,omɛˑ,oraˑ,kore,kono,sore,sono,are,ano,,,nɛˑ,menna,ɡɛˑ,totsɯ̈,taˑtsɯ̈,dekkɛˑ,naˑɡɛˑ,nokkotʃiˑ,onna,otsɯ̈ko,fɯ̥̈to,sakana,tore,e̝no,ʃirame,tʃi,tane,happa,nekko,kaba,hada,neko,aka,hone,abora,tamaɡo,,oppo / ʃi̥ppane,hane,atamakke,atama,meme,manako / me,hana,kotʃi,ha,hera,tsɯ̈me,aʃi,fɯ̈zatama / fɯ̈za,te,hara,kobe,tʃi̥tʃi / tʃiˑ,kokoro,,nomo,kwɔˑ,kamo,mero,tʃi̥ko,ʃiro,neboro,ʃimo,korosɯ̈,abero,tobo,ɛˑbo / ako,,nero,sɯ̈waro,tatsɯ̈,korero / jaro,,hɔˑ / joˑ,tentɔˑsama / fe,tsɯ̥̈tʃi,hoʃi,mezɯ̈,ame,e̝ʃi,sɯ̈na,tʃi̥tʃi,komo,kebo,fe,hɛˑ,,metʃi,jama,aka,aˑkɛˑ,ao,aˑweˑ,tʃiˑro,tʃiˑreˑ,ʃiro / ʃiroe̝ro,ʃireˑ,koro,koˑreˑ,joːsa / bantsɯ̥̈ke,attseˑ,sabeˑ / ʃibarero,e̝ppɛˑ,ataraʃiˑ,e̝ˑ,maˑreˑ,fero / haʃaɡo,namɛˑ
Nagano,waʃi,omesan,waʃidomo / waʃira,kore,kono,sore,sono,are,ano,dare,,neː,minna,oːe̝ / tanto,ʃi̥totsɯ,fɯ̥tatsɯ,dekkeː,naŋeː,tʃiːseː / tʃi̥kkoe̝,onna,otoko,ʃi̥to,ɯo / sakana,tori,e̝no / e̝nokkoro,ʃirami,ki,tane,ha / happa,ne / nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,oppo,hane,atamanoke,atama,mimi,me,hana,kɯ̥tʃi,ha,hera,tsɯme,aʃi,ʃizambo,te,hara,kɯbi,tʃi̥tʃi / oppae̝,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,ki̥kɯ,ʃirɯ,nerɯ / neːrɯ,ʃimɯ,korosɯ / ʃimerɯ,ojoŋɯ / abirɯ,tobɯ,e̝ːbɯ / arɯkɯ,kɯrɯ,nerɯ / neːrɯ,sɯwarɯ,tatsɯ,kɯrerɯ / aŋerɯ,kɯrerɯ,seɯ,otentosaɴ / konnitʃi̥saɴ / ʃi,tsɯ̥ki / otsɯ̥kisaɴ,ohoʃi̥saɴ / hoʃi,mizɯ,ame,e̝ʃi,sɯna,beto,kɯmo,kebɯ,ʃi,heː,,mitʃi,jama,aka,akeː,ao,aweː,kiːro,kiːre,ʃiro,ʃireː,kɯro,kɯreː,jorɯ / baɴ,atsɯe̝,sabiː,eppeː,ataraʃiː,e̝ː,marɯe̝,ʃirɯ / kawakɯ,namae̝
Hachijo,wai,omeː,waira,koi,kono,soi,sono,ɯi,ɯno,dai,,nnaka,menna,ʃi̥kkari,tetsɯ,fɯ̥tatsɯ,boːkja,naŋɡakja,nekkokja,onnaɡo,onokoɡo,ʃi̥to,jo,torime,inɯme,ʃamme,ki,mi,happa,nekko,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaɡo,,oppo / oba,hane,tsɯbɯrinoke,tsɯbɯri,mimi,manako,hana,kɯ̥tʃi,,ʃi̥ta / bero,tsɯme,aʃi,çidza / çidzakabɯ,te,hara,kɯbi,tʃibɯsa / oppai,kokoro,,nomɯ,kamu,kamɯ,mirɯ,ki̥kɯ,ʃokja,nemɯrɯ,marɯbɯ,korosɯ,ojoɡɯ,tobɯ,eːmu / arɯkɯ,kɯrɯ,nerɯ / jasɯmɯ / jokoninarɯ,sɯwarɯ,tatsɯ,kerɯ,kerɯ / tamoɯrɯ,jɯː,oçi̥sama,tsɯ̥ki,hoʃi,midzɯ,ame,iʃi,sɯna,tsɯ̥tʃi,kɯmo,kemɯ / jɯbɯri,çi,heː,,mitʃi,jama,aka,akakja,ao,aokja,kiːro,kiːrokja,ʃiro,ʃirokja,kɯro,kɯrokja,jorɯ / joi,hotoɯrɯ,koɡeirɯ,ippeː,ataraʃi̥kja / niːʃi̥kja,jokkja,marɯkja,kawakɯ / haʃaɡɯ / çirɯ,nameː
Toyama,waʃi,anta / antahaɴ,waʃiratʃi / waʃidomo,korɯ / kori / kore,koɴ / kono,sorɯ / sori / sore,soɴ / sono,arɯ / ari / are,aɴ / ano,dare,,ɴ,nna / minna,oi,çi̥totsɯ / çi̥toːtsɯ,fɯ̥tatsɯ / fɯ̥taːtsɯ,dekkai,naŋai,tʃiŋkoi / tʃittʃai / entʃai / komai,onna,otoko,ʃi̥to,iwo / sakana,tori,iɴ / inna / inɯ / iŋkoro,ʃirami,kiː,tane,haː,neː,kawa,hada,nikɯ / ʃiʃi / midʒiʃi,tʃiː,hone,abɯra,tamamo / tamaŋo,,ʃirippo / oppo / ombe,hane,atamanokeː,atama,mimi,meː,hana,kɯ̥tʃi,haː,bero / ʃita,tsɯme,aʃi,çidza,teː,hara,kɯbi,tʃi̥tʃi / tʃitʃiko,kokoro,,nomu,taberɯ / kɯː,kamɯ / kambarɯ,mirɯ,kikɯ,ʃirɯ,nebɯrɯ / nemɯrɯ,ʃinɯ,korosɯ,ojoŋɯ / abirɯ,tobɯ,arakɯ,kɯrɯ,nerɯ / naŋonarɯ / nennesɯrɯ,nemarɯ / ssarɯ,tatsɯ / tatʃirɯ,jarɯ / taraserɯ,kɯrerɯ,jɯː,otentohaɴ / çiːhaɴ / oçihaɴ,tsɯ̥ki / otsɯ̥kisaɴ,hossaɴ,midzɯ,ame,iʃi / iʃina / iʃikoro,sɯna,doro,kɯmo,kebɯri / kemɯri,çiː,hai,,mitʃi,jama,aka,akai,ao,aoi,okoɴiro / oŋkoiro / kiːro,okoɴirono / oŋkoirono / kiːroi,ʃiro,ʃiroi,kɯro,kɯroi,jorɯ / baɴ,atsɯi / attsɯi,sabɯi / samɯi / çierɯ,ippai / kitʃikitʃi / jattokatto,attaraʃiː,iː,marɯkkoi,hoserɯ / kawakɯ,naː
Nanao,wataʃi,anta,wataʃidomo / wataʃira,kore,kono,sore,sono,are,ano,,,ɴ,minna / mina,oːi,çitotsɯ,fɯ̥tatsɯ,dekai,naŋai,tʃiŋkoi / tʃintʃai,onna,otoko,çito / ʃito,sakana,tori,inɯ / eɴ / eŋkoro,ʃirami,kiː,tane,happa,neː,kawa,hada,nikɯ,tʃiː,hone,abɯra,tamaŋo,,ombo / oː,hane,kaminoke,atama,mimi,meː,hana,kɯ̥tʃi,haː,ʃi̥ta,tsɯme,aʃi,çidza / kobɯra,teː,hara,kɯbi,tʃi̥tʃi,,,nomɯ,taberɯ / kɯː / kamɯ,kamɯ / kadʒirɯ,mirɯ,kikɯ,,nemurɯ / nerɯ,ʃinɯ,korosɯ,ojoŋɯ,tobɯ,arɯkɯ / arakɯ,,nerɯ / jokoninarɯ / naŋonarɯ,sɯwarɯ / nemarɯ / nimarɯ,tatsɯ,jarɯ,,jɯː,çiːsaɴ,tsɯ̥ki / otsɯki̥saɴ,hossama,midzɯ,ame,iʃi,sɯna,tsɯ̥tʃi,kɯmo,kemɯri,çiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro / kina,kiːroi / kinai,ʃiro,ʃiroi,kɯro,kɯroi,jorɯ / joːbaɴ,atsɯi,samɯi / sabɯi,ippai,ataraʃiː / sara,iː,marɯi,kawakɯ / hoʃerɯ,namae / naː
Ishikawa,wate,omasaɴ,watera,kore,kono,sore,hono,are,ano,,,ɴ,nna,tanto,çitotsɯ,fɯtatsɯ,dekai,naŋai,tʃittʃai,mero,otoko,çito,sakana,tori,iɴ,ʃirami,kiː,tane,haː,neː,kawa,hada,nikɯ,tʃiː,hone,abɯra,tamaŋo,,oː,hane,kaminoke,atama,mimi,meː,hana,kɯtʃi,haː,heta,tsɯme,aʃi,çidza,teː,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,kikɯ,ʃirɯ,nerɯ,ʃiɴ,korosɯ,aberɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ,sɯwarɯ / nemarɯ,tatsɯ,jarɯ,jarɯ,jɯː,oçisama,tsɯki / otsɯkisaɴ,hoʃi,midzɯ,ame,iʃi,sɯna / dʒoːko,doro,kɯmo,kemɯri,çiː,hai,,mitʃi,jama,aka,akai,ao,aoi,kiːro,kinai,ʃiro,ʃiroi,kɯro,kɯroi,josari,atsɯi,sabɯi,ippai,ataroʃiː,iː,maːrɯi,kawakɯ,namae
Fukui,ɯra,anta,ɯrara,kore,kono,hore,hono,are,ano,,,ɴ,minna / dʒembɯ,oːi,çitotsɯ,fɯtatsɯ,ikeː,naŋeː,ʔtsai,mero,otoko,çi̥to,ɯo / sakana,tori,inɯ,ʃirami,kiː,tane,haː,neː,kawa,hada,nikɯ,tʃiː,hone,abɯra,tamaŋo,,ʃirippo,hane,kami / kaminoke,atama,mimi,meː,hana,kɯtʃi,haː,heta,tsɯme,aʃi,çidza,teː,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,kikɯ,ʃirɯ,nebɯrɯ,ʃinɯ,korosɯ,ojoŋɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ / nebɯrɯ,nimarɯ / sɯwarɯ,tatsɯ,jarɯ,kɯrerɯ,jɯː,oçisaɴ,tsɯki / otsɯki̥saɴ,ohoʃisaɴ,midzɯ,ame,iʃi / iʃina,sɯna,beto,kɯmo,kebɯri,çiː,hai,,mitʃi,jama,aka,akeː,,aoi,kiːro / ɯkoɴ,kiːroi,ʃi̥ro,ʃiroi,kɯro,kɯroi,josari,atsɯ̥i,sabɯi,ippai,ataraʃiː,iː,marɯi,kawakɯ / hoserɯ,namae
Gifu,wattʃi / watæː / waʃi,omahaɴ / anta,waʃira / wattʃira,køːtsɯ,kono,søːtsɯ,sono,æːtsɯ,ano,,,ɴ,minna,oøː,çitotsɯ,fɯtatsɯ,ikæː / oːkiː,naŋæː,tʃiːkøː,onaŋo,otoko,çi̥to,sakana,tori,inɯ,ʃirami,ki,tane,ha,ne,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaŋo,,ombo / oppo,hane,kaminoke,atama,mimi,me,hana,kɯtʃi,ha,bero / ʃita,tsɯme,aʃi,çidza,te,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː / taberɯ,kamɯ,mirɯ,kikɯ,ʃirɯ,nemɯrɯ,ʃinɯ,korosɯ,ojoŋɯ / abirɯ,tobɯ,arɯkɯ,kɯrɯ,nerɯ,sɯwarɯ,tatsɯ,jarɯ,kɯrerɯ / kɯdarerɯ,jɯː,nitʃiriɴ / oçisama / taijoː,tsɯki / otsɯkisama,ohossama / hoʃi,midzɯ,ame,iʃina / iʃi,sɯna,tsɯtʃi,kɯmo,kebɯri,çi,çæː,,mitʃi,jama,aka,akæː,ao,aøː,kiːro,kiːnæː,ʃiro,ʃirøː,kɯro,kɯrøː,jɯːsa / jɯːsari / joːsa,atsyː,sabyː,ippæː,ataraʃiː,eː,maryː,kawakɯ,namae
Aichi,waʃi,anta,waʃiraː,køːtsɯ,kono,søːtsɯ,sono,æːtsɯ,ano,,,ɴ,minna,oøː / joːke,çitotsɯ / ʃitotsɯ,fɯtatsɯ,oːkiː / dekæː,naɡæː,tʃiːsæː / tʃiːkøː,onaɡo,otoko,çi̥to / ʃi̥to,sakana,tori,inɯ,ʃirami,ki,tane,ha,ne,kawa,hada,nikɯ,tʃi,hone,abɯra,tamaɡo,,oppo,hane,kaminoke,atama,mimi,me,hana,kɯtʃi,ha,ʃita / bero,tsɯme,aʃi,çidza,te,hara,kɯbi,tʃitʃi,kokoro,,nomɯ,kɯː,kamɯ,mirɯ,kikɯ,ʃirɯ,nemɯrɯ / nebɯrɯ,ʃinɯ,korosɯ,abirɯ / ojoɡɯ,tobɯ,arɯkɯ / ajobɯ,kɯrɯ,nerɯ,sɯwarɯ,tatsɯ,jarɯ,kɯrerɯ / kɯdarerɯ,jɯː,otentosama,tsɯki / ottsɯkisama,hoʃi / ohossama,midzɯ,ame,iʃina,sɯna,tsɯtʃi,kɯmo,kebɯri,çi,çæː,,mitʃi,jama,aka,akæː,ao,aøː,kiː,kiːnæː / kinæː,ʃiro,ʃirøː,kɯro,kɯrøː,joːsa / joːsari,atsyː,sabyː,joke / ippæː,ataraʃiː,eː,maryː,kawakɯ,namæː / na
